vectors,method,test_accuracy
50,mean,0.691740274384514
200,mean,0.692601641295496
300,mean,0.693275073607718
50,max,0.696642235168828
200,max,0.695342354194074
300,max,0.695671239741903
50,minmax,0.696548267869448
200,minmax,0.697895132493892
300,minmax,0.696798847334461
